Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH_T,OH_interfacial_L,OH_P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,Water,Vlagomer,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water
2022-01-06 04:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.9557195,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.9624061,1.0,0.37351245,0.15,,,,
2022-01-06 06:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.7306273,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.7556392,1.0,0.38343796,0.14,,,,
2022-01-06 08:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.7306273,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.7556392,1.0,0.38372988,0.15,,,,
2022-01-06 10:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.74538743,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.8458647,1.0,0.36714843,0.15,,,,
2022-01-06 12:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.74538743,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.8458647,1.0,0.3926304,0.17,,,,
2022-01-06 14:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.74538743,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.8458647,1.0,0.38439807,0.17,,,,
2022-01-06 16:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.74538743,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.8458647,1.0,0.39732072,0.17,,,,
2022-01-06 18:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.509225,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.49248126,1.0,0.37953264,0.18,,,,
2022-01-06 20:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.5682657,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.48872185,1.0,0.38043433,0.17,,,,
2022-01-07 00:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.86715853,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.8759399,1.0,0.40265974,0.13,,,,
