Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды
2023-01-13 00:00:00,6.3,15,6,13.8,70,4.2,58,64,75,1,52,53,30,9,29.1,56.9,5,4.7,57.7,102.9,0.2,29.8,60,4.9,4.6,61.9,92,0.2,192,68.697,0,33
2023-01-13 02:00:00,6.3,15,5.8,13.8,66,4.1,58,64,75,1,52,53,31,9,29.4,57.1,5,4.7,59.3,107.9,0.2,29.4,59.8,4.9,4.7,61.7,92,0.2,204,73.609,0,33
2023-01-13 04:00:00,6.3,15,5.8,13.8,65,4.1,58,64,75,1,52,53,31,9,29.4,57.1,5,4.7,59.3,107.9,0.2,29.4,59.8,4.9,4.7,61.7,92,0.2,218,79.134,0,33
2023-01-13 06:00:00,6.3,15,5.8,13.8,65,4.1,58,64,75,1,52,53,31,9,29.4,57.1,5,4.7,59.3,107.9,0.2,29.4,59.8,4.9,4.7,61.7,92,0.2,169,58.975,0,33
2023-01-13 08:00:00,6.3,15,5.8,13.8,65,4.1,58,64,75,1,52,53,32,9,29,57,5,4.7,59.5,109,0.2,29.2,60,4.9,4.7,62,94.1,0.2,184,65.353,0,33
2023-01-13 10:00:00,6.3,15,5.8,13.8,66,4.1,58,64,75,1,52,53,32,9,29,57,5,4.7,59.5,109,0.2,29.2,60,4.9,4.7,62,94.1,0.2,198,71.171,0,33
2023-01-13 12:00:00,6.3,15,5.8,13.8,66,4.1,58,64,75,1,52,53,32,9,29,57,5,4.7,59.5,110,0.2,29.2,60,4.9,4.7,62,95,0.2,214,77.582,0,33
2023-01-13 14:00:00,6.3,15,5.8,13.8,66,4.1,58,64,75,1,52,53,32,9,28,58.5,5,4.7,61.2,115.5,0.2,28.2,56.2,4.9,4.7,57.8,129,0.2,228,82.909,0,33
2023-01-13 16:00:00,6.3,15,5.8,13.8,66,4.1,58,64,75,1,52,53,32,9,28,58.5,5,4.7,61.2,115.5,0.2,28.2,56.2,4.9,4.7,57.8,129,0.2,212,76.797,0,33
2023-01-13 18:00:00,6.3,15,5.8,13.8,66,4.1,58,64,75,1,52,53,32,9,27.8,59,5,4.7,62,116,0.2,28,56,4.9,4.7,58,135,0.2,178,62.816,0,33
2023-01-13 20:00:00,6.3,15,5.7,14,70,4.2,56,65,75,1,52,53,32,9,27.8,54.5,4.9,4.7,57,99,0.2,27.9,56.5,4.8,4.6,58.1,129.5,0.2,191,68.282,0,33
2023-01-14 00:00:00,6.3,15,5.8,14,70,4.3,57,64,75,1,52,53,32,9,28.7,57.8,4.9,4.6,59.6,104.3,0.2,28.8,59.5,5,4.7,61.4,97.2,0.2,193,69.112,0,33
2023-01-14 02:00:00,6.3,15,5.9,13.9,68,4.3,58,64,75,1,42,53,31,9,29.4,57.1,5,4.7,59.3,107.9,0.2,29.4,59.8,4.9,4.7,61.7,92,0.2,221,80.283,0,33
2023-01-14 04:00:00,6.3,15,5.9,13.9,68,4.2,58,64,75,1,42,53,32,9,27.4,56.1,4.9,4.6,59.1,247,0.2,28.4,59.8,4.8,4.6,61.6,96.5,0.2,152,51.651,0,33
